n07851443 double_cream
n01995514 fairy_shrimp
n08598301 grassland
n12013035 black_salsify
n12013035 scorzonera
n03976467 polaroid_camera
n03609235 kayak
n03058107 coating
n03058107 coat
n03284743 enamel
n03905947 peg
n01756089 prairie_rattlesnake
n04482177 tricorn
n04482177 tricorne
n03376279 folder
n03683341 lock
n03803116 muzzle_loader
n07751737 damson
n12704343 carambola
n04530283 vertical_tail
n04960277 black
n04960277 blackness
n02196119 robber_fly
n01806567 quail
n02889425 brake
n11767877 indian_hemp
n11767877 apocynum_cannabinum
n07860805 batter
n07763792 loquat
n04139859 savings_bank
n04139859 money_box
n04139859 bank
n03541537 hostel
n03541537 youth_hostel
n03247083 dropper
n01918744 ctenophore
n01918744 comb_jelly
n11609475 pinon
n11609475 pinyon
n07822687 chili_powder
n03959701 plate
n03959701 scale
n03959701 shell
n03438071 girdle
n03438071 cincture
n03438071 sash
n03438071 waistband
n00453396 ducking
n00453396 duck_hunting
n02403231 bullock
n02403231 steer
n02864122 bwr
n01418498 leishmania
n02110958 pug
n03456548 greasy_spoon
n01811909 pigeon
n07618119 duff
n01440242 mirror_carp
n07736813 taro
n07736813 taro_root
n07736813 cocoyam
n07736813 dasheen
n07736813 edda
n07918309 stinger
n04201064 shofar
n02240517 bedbug
n02240517 bed_bug
n02240517 chinch
n02240517 cimex_lectularius
n02624167 mackerel
n03399971 fruit_machine
n09945745 commuter
n04287986 spreader
n04070727 refrigerator
n04070727 icebox
n04147183 schooner
n02782778 ballpark
n02782778 park
n03211789 display_window
n03211789 shop_window
n12451915 fritillary
n06415688 jotter
n13915113 tetrahedron
n03871628 packet
n04370774 sweats
n12281974 paper_birch
n12281974 betula_papyrifera
n04439585 tine
n01770081 harvestman
n01770081 daddy_longlegs
n11844371 saguaro
n11844371 sahuaro
n07860208 treacle
n07860208 golden_syrup
n03004275 potty
n12281241 birch
n12281241 birch_tree
n03770316 ministry
n03429914 gauze
n03429914 netting
n03429914 veiling
n04576002 wheelchair
n00446493 fight
n02751067 astrodome
n03302938 exhaust
n03302938 exhaust_system
n04375241 synchromesh
n12634211 crab_apple
n12634211 crabapple
n04112430 rotor_head
n11733312 larkspur
n07643764 marmalade
n15092059 niacin
n15092059 nicotinic_acid
n12793015 saxifrage
n04430475 thrust_bearing
n04060904 receptacle
n03000684 chain_saw
n03000684 chainsaw
n10148035 groom
n10148035 bridegroom
n07853232 cheshire_cheese
n03680858 lobster_pot
n03216828 dock
n03216828 dockage
n03216828 docking_facility
n02386014 harness_horse
n04334105 strapless
n02998841 chador
n02998841 chadar
n02998841 chaddar
n07827410 sesame_seed
n11621029 silver_fir
n07803545 wheat
n03221351 dongle
n12151170 galangal
n03087245 diffusion_pump
n02655848 porcupinefish
n03240892 drill_press
n07837362 white_sauce
n12691661 gumbo_limbo
n02312640 chrysalis
n01730812 racer
n03222722 doorframe
n03222722 doorcase
n04311174 steel_drum
n03549199 humvee
n02818135 beaver
n02818135 castor
n02423589 springbok
n04543996 wainscot
n04543996 wainscoting
n04543996 wainscotting
n11902389 opium_poppy
n11902389 papaver_somniferum
n14698884 gravel
n14698884 crushed_rock
n01570676 yellowthroat
n07707451 vegetable
n07707451 veggie
n07707451 veg
n02278210 fritillary
n11627512 eastern_hemlock
n11627512 spruce_pine
n11627512 tsuga_canadensis
n03163381 dashiki
n00450866 pony_trekking
n04135315 sanitary_napkin
n04135315 kotex
n11645590 wollemi_pine
n02814774 beachwear
n09468604 valley
n09468604 vale
n11825351 cockscomb
n03730334 maternity_hospital
n04566756 weathercock
n04175574 service_club
n11791341 philodendron
n12003696 hawkweed
n11635830 yellow_cedar
n11635830 alaska_cedar
n03920867 pew
n03256631 dunce_cap
n12114590 chloris_gayana
n03567066 incubator
n03567066 brooder
n02401031 bovid
n11725973 wood_anemone
n11725973 snowdrop
n01663782 green_turtle
n01663782 chelonia_mydas
n12043444 orchis
n03702248 machine_tool
n03291963 envelope
n07752664 raisin
n01748389 asp
n01748389 egyptian_cobra
n01748389 naja_haje
n12342299 willowherb
n03369407 fluid_drive
n07848093 sour_cream
n12327846 brazil_nut
n02089232 dachshund
n02305929 cinnabar
n02458135 unai
n04584207 wig
n11661909 taxus_baccata
n01649170 spadefoot
n01649170 spadefoot_toad
n04047733 railing
n03817191 negative
n03715892 mallet
n02380583 mustang
n04407686 temple
n12708654 bitter_orange
n02084861 cur
n02084861 mongrel
n02084861 mutt
n02932693 cabin_class
n02932693 second_class
n02932693 economy_class
n04098795 rocker
n04098795 cradle
n03176763 department_store
n03176763 emporium
n01521756 rhea
n01521756 nandu
n00467536 shuffleboard
n13136556 nut
n01613807 eaglet
n01518878 ostrich
n07754894 cocoa_bean
n11928352 artemisia
n03158186 dacha
n01491361 tiger_shark
n03649161 lavalliere
n12185254 ribbonwood
n11639445 mountain_pine
n04413969 terraced_house
n04326547 stone_wall
n03895170 parvis
n03557840 ice_pack
n03658858 level
n03658858 spirit_level
n02992795 scotch_tape
n01330126 adenovirus
n03303669 exhaust_valve
n01491006 blue_shark
n07917392 sidecar
n07865700 coquille
n02110185 siberian_husky
n12056217 slipper_orchid
n03826186 nissen_hut
n03826186 quonset_hut
n03233744 drawbridge
n03233744 lift_bridge
n01768244 trilobite
n03516844 hessian
n03516844 jackboot
n03516844 wellington
n03516844 wellington_boot
n11782036 alocasia
n11782036 elephant_ear
n02370806 ungulate
n01531344 linnet
n03038480 jackknife
n01871875 monotreme
n01317813 feeder
n04410086 tenor_drum
n12979829 white_fungus
n03200701 dining_room
n03200701 dining_room
n00448126 professional_wrestling
n07600696 candy_apple
n07600696 caramel_apple
n03538406 horse_cart
n03538406 horse_cart
n04289449 sprit
n03378442 foot
n02272871 earwig
n07690273 muffin
n07690273 gem
n12248359 bilberry
n03502509 headdress
n03502509 headgear
n07605944 gumdrop
n02993546 center
n02993546 centre
n03323319 farthingale
n03445617 golf_bag
n01646648 natterjack
n03914106 peplum
n02737660 arm
n04293119 squeezer
n02898369 brickwork
n10610465 sleeper
n10469874 press_photographer
n03554460 hygrometer
n12727518 goat_willow
n03309110 eyeliner
n03238131 dressing_room
n02756098 attire
n02756098 garb
n02756098 dress
n03271574 electric_fan
n03271574 blower
n07904865 grog
n02643112 scorpionfish
n07774719 pecan
n03459328 griddle
n03846772 omnidirectional_antenna
n03683995 locket
n01597737 scarlet_tanager
n01597737 redbird
n01597737 firebird
n04972350 chestnut
n12109827 oat
n07816839 chervil
n02831724 berth
n02831724 bunk
n02250280 cochineal
n12495146 locust
n03160309 dam
n03160309 dike
n03160309 dyke
n12671651 abelia
n01382033 spirochete
n01382033 spirochaete
n07772935 coconut
n07772935 cocoanut
n03166809 death_house
n03166809 death_row
n12648045 peach
n12648045 peach_tree
n12648045 prunus_persica
n04122685 sachet
n03842156 office_furniture
n07574504 refreshment
n04536335 viola
n01669654 painted_turtle
n03684740 lockup
n12256112 wintergreen
n12256112 pyrola
n03289660 enlarger
n03250279 drumhead
n03250279 head
n02387346 shire
n02387346 shire_horse
n04539203 vivarium
n02086346 toy_spaniel
n07931280 wassail
n03416900 garbage
n03436656 gig
n04429376 throne
n07890750 mead
n07913644 bullshot
n03124474 cowl
n04035748 quirt
n04181718 shade
n02106662 german_shepherd
n02106662 alsatian
n07890068 pale_ale
n01877134 kangaroo
n04129766 sailor_suit
n07643981 gelatin
n07643981 jelly
n12926480 cassava
n04125541 safe_house
n03995372 power_drill
n01917611 staghorn_coral
n06266878 news_photography
n02328429 pika
n02328429 coney
n02328429 cony
n00452293 hunt
n00452293 hunting
n06276902 rediffusion
n12937130 wild_carrot
n12937130 daucus_carota
n02090379 redbone
n03488887 handstamp
n03488887 rubber_stamp
n09248153 coast
n07809096 ingredient
n07809096 fixings
n07846143 powdered_milk
n07846143 dried_milk
n07846143 milk_powder
n07868340 fried_rice
n07721456 chili
n07721456 chili_pepper
n07721456 chilli
n07721456 chilly
n07721456 chile
n03416640 garage
n03416640 service_department
n02771547 backstop
n04002262 pricket
n02120997 feline
n02120997 felid
n10305802 medical_practitioner
n10305802 medical_man
n07698250 gyro
n12586298 calamus
n11720353 buttercup
n11720353 crowfoot
n12705013 milkwort
n03431570 gearbox
n03431570 gear_box
n12300840 olive_tree
n03049457 closet
n12915140 lantana
n08579352 grainfield
n02831237 beret
n05262698 walrus_moustache
n00449295 racing
n07823460 salsa
n01853498 scoter
n01853498 scooter
n03068998 collar
n02172518 scarab
n02172518 scarabaeus
n03958752 plastic_wrap
n02086079 pekingese
n02086079 peke
n12409840 sugarberry
n00447540 wrestling
n00447540 grappling
n03928814 piano_keyboard
n03928814 fingerboard
n03928814 clavier
n02757810 audiotape
n03235979 dray
n03343853 firearm
n03343853 piece
n03410740 gag
n03410740 muzzle
n09362945 mull
n02075296 carnivore
n02415577 bighorn
n02415577 bighorn_sheep
n02415577 cimarron
n02880189 bow
n02862048 body_armor
n02862048 body_armour
n02862048 cataphract
n01461315 spawn
n02123159 tiger_cat
n02040266 stone_curlew
n07614198 ice
n07614198 frappe
n02636854 mojarra
n02930214 bvd
n03126707 crane
n03164722 davenport
n12655869 raspberry
n04560113 water_heater
n01687290 caiman_lizard
n04172512 sennit
n03590306 jacket
n03999160 presbytery
n03565830 in_basket
n13137010 kernel
n13137010 meat
n03270165 electrical_system
n03619275 kirtle
n04289195 sprinkler_system
n12907857 nicotiana_tabacum
n03158414 dacron
n03158414 terylene
n07749870 key_lime
n12615232 eelgrass
n12615232 wild_celery
n07865484 chow_mein
n03237992 dressing_gown
n03306869 extension
n02405302 yak
n11552976 biennial
n12831535 columnea
n03122073 covered_bridge
n04228054 ski
n04487894 troopship
n03074855 comb
n02016358 gallinule
n02016358 swamphen
n02855089 blower
n00464894 golf
n00464894 golf_game
n09213565 bank
n03479121 hall
n04414476 terry
n04414476 terrycloth
n03290653 entertainment_center
n04273285 speculum
n03626115 knob
n03626115 boss
n07915491 julep
n07915491 mint_julep
n03465500 guarnerius
n07715221 brussels_sprouts
n03767112 millstone
n01550172 firebird
n03181667 detention_house
n03181667 detention_camp
n02811350 batting_helmet
n03176386 denture
n03176386 plate
n07835457 hollandaise
n04407435 temple
n07722888 purple_onion
n07722888 red_onion
n04487394 trombone
n05458576 oocyte
n01851573 greater_scaup
n04404412 television
n04404412 television_system
n04371774 swing
n12421917 jonquil
n03760671 microscope
n11652039 podocarp
n11797321 aralia
n04313220 steering_system
n04313220 steering_mechanism
n03532919 hook
n07926540 malted_milk
n02088238 basset
n02088238 basset_hound
n04317833 stick
n02428349 oryx
n02428349 pasang
n00466880 croquet
n08242223 core
n08242223 nucleus
n08242223 core_group
n03605915 junction
n03605915 conjunction
n12790430 deutzia
n07693972 biscuit
n07714990 broccoli
n13094145 sorus
n12305654 green_ash
n13132156 pedicel
n13132156 pedicle
n02341974 water_vole
n02341974 water_rat
n04130907 sallet
n04130907 salade
n02512752 fingerling
n03471347 gusset
n04273569 speedboat
n07684289 nan
n07684289 naan
n03469903 gunny_sack
n12107710 meadow_foxtail
n03239259 dress_uniform
n03669534 limekiln
n04568713 web
n04970631 reddish_purple
n04970631 royal_purple
n04241394 slipper
n04432662 ticking
n12311579 syringa_vulgaris
n12649065 flowering_cherry
n12172364 okra
n03460297 grindstone
n12732491 black_poplar
n09820263 athlete
n09820263 jock
n07817871 fennel
n07817871 finocchio
n02012849 crane
n03484809 hand_drill
n01995686 brine_shrimp
n07858978 honey
n04048441 railroad_tunnel
n07585758 gazpacho
n01876667 bilby
n02169497 leaf_beetle
n03267113 eight_ball
n03442756 goal
n04391838 tape
n04391838 tape_recording
n04391838 taping
n12691428 elephant_tree
n12691428 bursera_microphylla
n03724756 masjid
n03724756 musjid
n01564914 whitethroat
n02402175 wild_ox
n02491107 tamarin
n00483409 singles
n11487732 sundog
n03232309 drainage_ditch
n02962938 heart_monitor
n04034367 quilting
n01481498 rabbitfish
n01481498 chimaera_monstrosa
n04147495 scientific_instrument
n11610215 single_leaf
n11610215 pinus_monophylla
n03940894 pin
n03940894 flag
n02839592 billiard_room
n02839592 billiard_parlor
n02839592 billiard_hall
n03159640 dais
n03159640 podium
n03159640 pulpit
n03159640 rostrum
n03159640 ambo
n03159640 stump
n03159640 soapbox
n03504723 headquarters
n03504723 central_office
n03504723 main_office
n03504723 home_office
n03504723 home_base
n02088364 beagle
n02136452 fossa
n02726305 apartment
n02726305 flat
n03379828 footbridge
n03379828 pedestrian_bridge
n01563746 kinglet
n07815588 pepper
n07815588 peppercorn
n04552696 warship
n04552696 war_vessel
n04552696 combat_ship
n03234164 drawers
n03234164 shorts
n03234164 boxers
n03055670 coach
n04095577 riveting_machine
n04095577 riveter
n02847631 black_tie
n12116429 cocksfoot
n12116429 cockspur
n12116429 dactylis_glomerata
n02934451 cable_car
n02934451 car
n03175081 den
n03943115 pinion
n04096066 road
n04096066 route
n03125729 cradle
n02568087 striped_bass
n02568087 striper
n02568087 rockfish
n02843029 birchbark
n02843029 birch_bark
n04477548 treasure_chest
n07895595 chianti
n03062245 cocktail_shaker
n03637181 lamppost
n04504141 two_piece
n04504141 lounge_suit
n03272383 electric_lamp
n02355477 tree_squirrel
n01562014 bluebird
n01754370 copperhead
n01754370 agkistrodon_contortrix
n04295571 stacks
n12815668 calabash
n09228055 brae
n07683138 host
n07900825 port
n07900825 port_wine
n07849336 yogurt
n07849336 yoghurt
n01588725 rock_wren
n04601938 workpiece
n03792334 mound
n03792334 hill
n01900150 hair
n02801525 basin
n02419634 takin
n03065424 coil
n03065424 spiral
n03065424 volute
n03065424 whorl
n03065424 helix
n12215022 honeypot
n12215022 king_protea
n04560882 water_jump
n03959123 plastron
n05263183 stubble
n03046133 cloche
n07694839 hardtack
n04293258 squelch
n02227247 migratory_locust
n02227247 locusta_migratoria
n02064000 bowhead
n02064000 bowhead_whale
n02064000 greenland_whale
n03558404 ice_skate
n04299963 stamp
n07723177 shallot
n07831146 carbonara
n02740533 armored_vehicle
n02740533 armoured_vehicle
n11644226 white_cedar
n07857356 wasabi
n03211117 display
n03211117 video_display
n01754876 rattlesnake
n01754876 rattler
n04341288 strop
n01617095 griffon_vulture
n01617095 griffon
n01617095 gyps_fulvus
n02205219 crane_fly
n02205219 daddy_longlegs
n09344324 lunar_crater
n09224725 bluff
n03719053 mansion
n03719053 mansion_house
n03719053 manse
n03719053 hall
n03719053 residence
n07715561 squash
n03320519 fancy_dress
n03320519 masquerade
n01462042 blastocyst
n03618101 king
n03639497 land_line
n03639497 landline
n03380724 footstool
n03380724 footrest
n03380724 ottoman
n09899289 cashier
n03854065 organ
n03854065 pipe_organ
n07740954 mcintosh
n03205143 directional_microphone
n03587205 irrigation_ditch
n01535469 whitethroat
n04198562 shirtwaist
n04217882 signboard
n04217882 sign
n03246454 drop_curtain
n03246454 drop
n04234455 slat
n04234455 spline
n03850492 operating_table
n03981924 donkey_cart
n04323519 stockinette
n00468299 shinny
n02658531 plaice
n02889646 brake
n04543158 wagon
n04543158 waggon
n02343772 gerbil
n12409231 hackberry
n03942920 pinhead
n12353431 abaca
n12353431 manila_hemp
n12934036 astrantia
n02379183 quarter_horse
n01904886 oyster_shell
n03759661 micrometer
n02686379 air_conditioner
n02686379 air_conditioning
n04379964 table
n02890662 brake_pad
n03079741 compartment
n14974264 paper
n14977504 paving
n14977504 pavement
n14977504 paving_material
n03860404 outhouse
n03860404 privy
n03860404 jakes
n07904395 gin
n02010453 night_heron
n02010453 night_raven
n11840246 maravilla
n02985606 cat
n11692792 thistledown
n02687682 air_cushion
n02687682 air_spring
n12154773 pandanus
n12154773 screw_pine
n04102162 rollerblade
n07599161 jawbreaker
n14976759 pantile
n12638218 plum
n12638218 plum_tree
n03059366 coaxial_cable
n03059366 coax
n12939874 cow_parsnip
n12939874 hogweed
n12939874 heracleum_sphondylium
n07826250 tomato_paste
n07801892 broad_bean
n02323449 lagomorph
n02815749 beaker
n07893425 sacramental_wine
n02027357 stint
n02268443 dragonfly
n02268443 sewing_needle
n03880032 pallium
n03784896 horseshoe_arch
n01982347 giant_crab
n04355933 sunglass
n03995265 power_cord
n01486838 nurse_shark
n03355468 flageolet
n07907943 liqueur
n07907943 cordial
n02947977 candid_camera
n04070207 refracting_telescope
n04420024 thermal_reactor
n03522003 hippodrome
n07592317 chicken_stew
n13027557 aspergillus_fumigatus
n04340521 stroboscope
n04340521 strobe
n04340521 strobe_light
n04535252 villa
n07617188 pudding
n02169974 potato_beetle
n09265620 descent
n09265620 declivity
n09265620 fall
n09265620 decline
n09265620 declination
n09265620 declension
n09265620 downslope
n04290507 spur_gear
n04290507 spur_wheel
n02821627 bedroom
n02821627 sleeping_room
n02821627 sleeping_accommodation
n02821627 chamber
n02821627 bedchamber
n02835829 bicycle_rack
n02597608 kingfish
n07915918 margarita
n02445004 river_otter
n03941013 pin
n03941013 pin_tumbler
n03174731 demitasse
n01514859 hen
n11996677 mutisia
n03953901 placket
n03427296 gate
n02102318 cocker_spaniel
n02102318 cocker
n02869563 boneshaker
n07879350 sashimi
n10443032 plumber
n10443032 pipe_fitter
n11872146 rockcress
n03138669 crown
n03138669 diadem
n03856465 orrery
n04447443 toiletry
n12196694 kurrajong
n12196694 currajong
n04189282 sheeting
n02920083 bunk
n04314522 sten_gun
n12658846 service_tree
n11692265 perianth
n11692265 chlamys
n07839478 roux
n07561848 balanced_diet
n03600722 joinery
n15102455 chipboard
n15102455 hardboard
n01553142 antbird
n07733567 kohlrabi
n03935116 pig
n03363749 flintlock
n04141198 saxhorn
n04148054 scissors
n01367772 enteric_bacteria
n01367772 enterobacteria
n12864160 rosemary
n02248510 scale_insect
n04284572 sporran
n02894605 breakwater
n02894605 groin
n02894605 groyne
n02894605 mole
n02894605 bulwark
n02894605 seawall
n02894605 jetty
n04265904 space_rocket
n03649674 lawn_chair
n04387201 tambour
n02990373 ceiling
n02407390 friesian
n02407390 holstein
n02796623 barrier
n03868643 oximeter
n04236001 sleeping_car
n04236001 sleeper
n12719684 nasturtium
n13124358 saprobe
n12343480 fuchsia
n02041678 mew
n13030337 elf_cup
n03424325 respirator
n03410147 gaff
n03173387 delicatessen
n03173387 deli
n03173387 food_shop
n10297234 mascot
n04226464 skein
n02146371 brown_bat
n02129837 bengal_tiger
n04272928 spectrophotometer
n02197185 medfly
n02945813 camp
n02945813 refugee_camp
n02561661 pickerel
n02570838 surfperch
n07615569 tutti_frutti
n00483508 doubles
n04069166 reflectometer
n07730033 cardoon
n02563792 bluegill
n03277149 electron_gun
n04021798 pump
n01817263 popinjay
n02106966 pinscher
n05468739 oligodendrocyte
n09415671 riverbed
n09415671 river_bottom
n11902200 papaver_rhoeas
n04569822 wedge
n12055516 cymbidium
n03920641 pet_shop
n04398951 tea_table
n02386224 hackney
n07672914 margarine
n07672914 oleo
n07672914 oleomargarine
n07672914 marge
n02892948 brass_knuckles
n02892948 knuckles
n04545858 walkie_talkie
n04320598 stink_bomb
n01457852 trumpetfish
n01604968 accipitriformes
n02208280 honeybee
n02208280 apis_mellifera
n02979290 cassette_recorder
n07896422 dubonnet
n04965661 yellow
n01691217 legless_lizard
n07879659 tamale
n02568447 wreckfish
n04502502 tweed
n04255346 socket_wrench
n03533014 hookah
n03533014 narghile
n03533014 shisha
n03533014 chicha
n03533014 kalian
n03533014 water_pipe
n01319467 marine_animal
n01319467 sea_creature
n13035707 helvella
n12564083 winged_bean
n02505238 columbian_mammoth
n12393269 ramie
n12393269 ramee
n02715513 anteroom
n02715513 antechamber
n02715513 entrance_hall
n02715513 hall
n02715513 foyer
n02715513 lobby
n02715513 vestibule
n07686720 sourdough_bread
n02952374 canteen
n13883763 spherical_triangle
n04128499 sailboat
n04128499 sailing_boat
n08571898 flea_market
n03409393 gable
n03409393 gable_end
n03409393 gable_wall
n04256520 sofa
n04256520 couch
n04256520 lounge
n02788148 bannister
n02788148 banister
n02788148 balustrade
n02788148 balusters
n02788148 handrail
n01887787 cow
n03018209 china
n03977592 police_boat
n03392648 francis_turbine
n02133704 black_bear
n03199775 dinette
n12578916 cowpea
n04004767 printer
n03796401 moving_van
n04610013 yacht
n04610013 racing_yacht
n03501614 head
n02058747 gooney
n02058747 gooney_bird
n03573848 insole
n03047171 clockwork
n12102133 grass
n01424420 plasmodium
n01424420 plasmodium_vivax
n01424420 malaria_parasite
n01569836 chat
n12397431 indian_hemp
n12397431 cannabis_indica
n12092417 scarlet_pimpernel
n03602365 joss_house
n12476510 agave
n12476510 century_plant
n01605630 hawk
n03116008 couchette
n01793715 orpington
n02054502 anhinga
n02054502 darter
n07732904 watercress
n12366053 wild_fig
n04950713 grain
n04269822 spat
n04269822 gaiter
n03407369 fuse
n03407369 safety_fuse
n11707827 mountain_laurel
n11707827 umbellularia_californica
n07938007 multivitamin
n04190997 shell
n04190997 racing_shell
n04261868 sound_film
n02952237 canopy
n04408871 patch
n07573696 meal
n07573696 repast
n13882276 hexagon
n04382880 tachometer
n04382880 tach
n02790996 barbell
n07868955 gefilte_fish
n07868955 fish_ball
n07878283 stuffed_cabbage
n01745125 elapid
n01745125 elapid_snake
n04438507 timer
n03013438 chemise
n03013438 shift
n02102605 water_spaniel
n02859443 boathouse
n03801533 music_hall
n03801533 vaudeville_theater
n03801533 vaudeville_theatre
n03805725 nail_polish
n02766534 baby_buggy
n02766534 baby_carriage
n02766534 carriage
n02766534 perambulator
n02766534 pram
n02766534 stroller
n02766534 pusher
n11622591 subalpine_fir
n04403413 telephoto_lens
n04403413 zoom_lens
n13136316 bean
n02564403 rock_bass
n07749731 lime
n12685431 geranium
n02927053 butcher_knife
n02396796 babirusa
n01839086 green_woodpecker
n12532564 soy
n12532564 soybean
n12532564 soya_bean
n07596160 icing_sugar
n02763604 aviary
n02763604 bird_sanctuary
n02763604 volary
n12281788 yellow_birch
n12281788 betula_alleghaniensis
n12615710 pondweed
n01722998 pterosaur
n03594148 javelin
n04969798 greenish_blue
n04969798 aqua
n04969798 aquamarine
n04969798 turquoise
n04969798 cobalt_blue
n04969798 peacock_blue
n01790812 cochin
n01790812 cochin_china
n02811618 battle_cruiser
n04587327 windjammer
n02139199 bat
n07731284 chicory
n04108822 rope_bridge
n01563945 goldcrest
n01549430 pewee
n01549430 peewee
n01549430 peewit
n01549430 wood_pewee
n12006766 coneflower
n03637318 lampshade
n04972801 light_brown
n02325366 cottontail
n02325366 cottontail_rabbit
n04474466 trap
n06267145 newspaper
n06267145 paper
n02605936 angelfish
n04431436 thumbscrew
n12696492 neem
n12696492 neem_tree
n12696492 azadirachta_indica
n02927887 butterfly_valve
n04482297 tricot
n04401828 telephone_cord
n04138977 saucepan
n04086066 revetment
n07914128 refresher
n03996145 power_saw
n03996145 saw
n02660519 atlantic_halibut
n03055418 clutch
n01585715 rock_wren
n07927716 birch_beer
n03187595 dial_telephone
n02106166 border_collie
n07771405 black_walnut
n11758276 golden_wattle
n11758276 acacia_pycnantha
n00445351 rowing
n00445351 row
n00453313 deer_hunting
n00453313 deer_hunt
n02922578 burqa
n02922578 burka
n04025633 purdah
n00812526 clasp
n00812526 clench
n00812526 clutch
n00812526 clutches
n00812526 grasp
n00812526 grip
n00812526 hold
n03378005 food_court
n01385330 ectoparasite
n01490670 lemon_shark
n02885882 box_office
n02885882 ticket_office
n02885882 ticket_booth
n04402580 telephone_receiver
n04402580 receiver
n01980166 fiddler_crab
n01533339 canary
n12523475 brazilian_rosewood
n12523475 jacaranda
n01669191 box_turtle
n03264906 edger
n04019101 public_transport
n03156071 cyclotron
n04330998 strad
n03396074 fret
n03525693 holding_cell
n04182152 shadow_box
n02949202 cane
n03884926 pantheon
n02399000 ruminant
n02374149 equine
n02374149 equid
n01996280 tadpole_shrimp
n04962062 ash_gray
n04962062 silver
n04962062 silver_grey
n04962062 silver_gray
n07580253 special
n01574390 grackle
n07762913 durian
n01517966 carinate
n01517966 flying_bird
n04381860 tabletop
n03407865 fusee
n03881404 panchromatic_film
n02987379 slouch_hat
n03115014 cotter_pin
n03894379 partition
n03894379 divider
n01648356 midwife_toad
n02749953 assembly
n04192521 sheraton
n03213826 point
n04116512 rubber
n01882125 flying_squirrel
n03317788 faience
n07894551 chablis
n00444846 scuba_diving
n04131690 salt_shaker
n07696839 club_sandwich
n01849863 ruddy_duck
n02312427 pupa
n04560292 watering_can
n02682407 aeolian_harp
n02313709 bryozoan
n01415626 eukaryote
n02473857 peking_man
n03015478 chest_protector
n02003204 marabou
n02003204 marabout
n02003204 marabou_stork
n03654576 leg
n03132666 crinoline
n02152881 prey
n02152881 quarry
n01618082 black_vulture
n12757303 bearberry
n12757303 winterberry
n02962061 carboy
n03692379 loungewear
n04438643 time_switch
n08256735 wedding
n08256735 wedding_party
n02114548 white_wolf
n02114548 arctic_wolf
n12352639 musa_acuminata
n07613815 jello
n02887209 brace
n02814116 bb_gun
n07856270 spread
n07856270 paste
n01949499 keyhole_limpet
n07711569 mashed_potato
n01726692 snake
n01726692 serpent
n01726692 ophidian
n02139671 fruit_bat
n02139671 megabat
n03367410 florist
n03367410 florist_shop
n11947629 dusty_miller
n05453657 neutrophil
n02042046 herring_gull
n11815491 silene
n11815491 campion
n11815491 catchfly
n00442115 swimming
n00442115 swim
n04030274 pyx
n04030274 pix
n03705379 magnet
n03011355 checker
n03011355 chequer
n04474187 transport_ship
n12796022 bergenia
n12669803 lemonwood
n04296562 stage
n02125010 sand_cat
n02823586 beer_garden
n11623815 cedrus_libani
n02333909 black_rat
n02333909 rattus_rattus
n02806762 bath_chair
n04369282 swatter
n04369282 flyswatter
n07880751 taco
n02759963 autoloader
n01317541 domestic_animal
n01317541 domesticated_animal
n06267893 tabloid
n06267893 rag
n06267893 sheet
n12643473 sour_cherry
n12643473 prunus_cerasus
n03513376 helmet
n12764008 sugar_bush
n14867545 fish_meal
n01689081 spiny_lizard
n07650903 mince
n07764847 avocado
n07764847 aguacate
n07617051 frozen_custard
n03658635 levee
n11984542 inula
n04200258 shoebox
n03380301 footlocker
n03380301 locker
n02803349 bass
n01982068 king_crab
n04217546 signal_box
n01944390 snail
n03204436 dipstick
n04104384 roman_arch
n04104384 semicircular_arch
n01550761 cotinga
n01550761 chatterer
n13145040 vitis_labrusca
n12656685 black_raspberry
n12656685 blackcap
n12656685 thimbleberry
n02367492 chinchilla
n04255499 socle
n03574243 instep
n12329260 crape_myrtle
n07831267 tomato_sauce
n04026053 purifier
n07719058 jerusalem_artichoke
n01670802 giant_tortoise
n01631354 taricha_granulosa
n07731952 corn
n11614039 whitebark_pine
n04250473 snips
n12320010 hickory
n12320010 hickory_tree
n07801779 alfalfa
n01594372 swallow
n13181811 walking_fern
n03940256 pin
n04536866 violin
n04536866 fiddle
n00481803 professional_basketball
n11694664 soursop
n03381126 footwear
n01742821 rosy_boa
n11906127 golden_cup
n03986355 portfolio
n03846234 olive_drab
n07583066 guacamole
n00470682 touch_football
n03274435 electric_typewriter
n04493381 tub
n04493381 vat
n12650556 chokecherry
n02777100 balance
n05526957 prepuce
n05526957 foreskin
n04375405 rotary
n04375405 rotary_converter
n07616046 frozen_yogurt
n04520382 van
n04520382 caravan
n03489048 hand_throttle
n12611640 naiad
n12611640 water_nymph
n03072201 color_television
n03072201 colour_television
n03072201 color_tv
n03072201 colour_tv
n02395931 porker
n12194147 silkwood
n03842012 office_building
n03842012 office_block
n12644902 almond_tree
n03321954 fan_vaulting
n00466524 stroke_play
n04114844 router
n02629716 swordfish
n13141797 cascara
n09421951 sandbar
n09421951 sand_bar
n02383231 thoroughbred
n12161744 butternut_squash
n12161744 cucurbita_maxima
n01365885 neisseria_gonorrhoeae
n01456756 seahorse
n01456756 sea_horse
n03357081 flannel
n03357081 gabardine
n03357081 tweed
n03357081 white
n03027625 chukka
n02356977 black_squirrel
n12621619 sweetbriar
n12621619 brier
n12621619 briar
n12621619 eglantine
n06267991 yellow_journalism
n06267991 tabloid
n06267991 tab
